0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'Tei', 'LABEL': 'i-address'}","{'TEXT': '3206', 'LABEL': 'i-address'}","{'TEXT': 'SLD.HANHATTAN', 'LABEL': 'i-address'}","{'TEXT': '41e', 'LABEL': 'i-address'}","{'TEXT': '5.', 'LABEL': 'b-total'}","{'TEXT': 'De', 'LABEL': 'i-total'}","{'TEXT': '23/05/2016', 'LABEL': 'b-date'}",{'id': '9'},,,,,,,,,,,,
"{'TEXT': 'LES', 'LABEL': 'b-company'}","{'TEXT': 'BUFFETS', 'LABEL': 'i-company'}","{'TEXT': 'DES', 'LABEL': 'i-company'}","{'TEXT': 'GARES', 'LABEL': 'i-company'}","{'TEXT': 'DE', 'LABEL': 'i-company'}","{'TEXT': 'FRANCE', 'LABEL': 'i-company'}","{'TEXT': '85', 'LABEL': 'i-address'}","{'TEXT': 'QUAI', 'LABEL': 'i-address'}","{'TEXT': 'AUSTERLITZ', 'LABEL': 'i-address'}","{'TEXT': '75013', 'LABEL': 'i-address'}","{'TEXT': '1800001', 'LABEL': 'i-address'}","{'TEXT': 'Fatma', 'LABEL': 'i-address'}","{'TEXT': 'A', 'LABEL': 'i-address'}","{'TEXT': 'e', 'LABEL': 'i-address'}","{'TEXT': 'fot', 'LABEL': 'i-address'}","{'TEXT': '1349', 'LABEL': 'i-address'}","{'TEXT': 'CHK', 'LABEL': 'i-address'}","{'TEXT': '0001—', 'LABEL': 'i-address'}","{'TEXT': '883', 'LABEL': 'i-address'}","{'TEXT': 'Cvt', 'LABEL': 'i-address'}","{'TEXT': '0', 'LABEL': 'i-address'}","{'TEXT': 'Mar17”17', 'LABEL': 'b-date'}","{'TEXT': '50.10', 'LABEL': 'b-total'}",{'id': '698'},,,,,,,
"{'TEXT': 'Earl', 'LABEL': 'b-company'}","{'TEXT': 'Le', 'LABEL': 'i-company'}","{'TEXT': 'Rouge', 'LABEL': 'i-company'}","{'TEXT': 'Gorge', 'LABEL': 'i-company'}","{'TEXT': '16', 'LABEL': 'b-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '|', 'LABEL': 'i-address'}","{'TEXT': 'hotel', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'ville', 'LABEL': 'i-address'}","{'TEXT': '17290', 'LABEL': 'i-address'}","{'TEXT': 'Ballon', 'LABEL': 'i-address'}","{'TEXT': '14—06—2017', 'LABEL': 'b-date'}","{'TEXT': '4,50', 'LABEL': 'b-total'}",{'id': '854'},,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '9.', 'LABEL': 'b-total'}","{'TEXT': '7e', 'LABEL': 'i-total'}","{'TEXT': '16/01/2017', 'LABEL': 'b-date'}",{'id': '28'},,,,,,,,,,,,,,,,
"{'TEXT': 'ENTREPRISE', 'LABEL': 'b-company'}","{'TEXT': 'INDEPENDANTE', 'LABEL': 'i-company'}","{'TEXT': '$', 'LABEL': 'i-address'}","{'TEXT': 'A', 'LABEL': 'i-address'}","{'TEXT': 'S', 'LABEL': 'i-company'}","{'TEXT': 'LES', 'LABEL': 'i-address'}","{'TEXT': 'BOIFFIERS', 'LABEL': 'i-address'}","{'TEXT': '1', 'LABEL': 'i-address'}","{'TEXT': 'COURS', 'LABEL': 'i-address'}","{'TEXT': 'HECTOR', 'LABEL': 'i-address'}","{'TEXT': 'BERLIOZ', 'LABEL': 'i-address'}","{'TEXT': '17100', 'LABEL': 'i-address'}","{'TEXT': 'SAINTES', 'LABEL': 'i-address'}","{'TEXT': '9,90', 'LABEL': 'b-total'}","{'TEXT': '21/10/2015', 'LABEL': 'b-date'}",{'id': '1442'},,,,,,,,,,,,,,,
"{'TEXT': '21/06/17', 'LABEL': 'b-date'}",{'id': '897'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIÈRIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '10/11/2015', 'LABEL': 'b-date'}",{'id': '129'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CTTY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'felÿ', 'LABEL': 'i-address'}","{'TEXT': 'B', 'LABEL': 'i-address'}","{'TEXT': '2', 'LABEL': 'i-address'}","{'TEXT': 'dé', 'LABEL': 'i-address'}","{'TEXT': '10.00€', 'LABEL': 'b-total'}","{'TEXT': '14/01/2017', 'LABEL': 'b-date'}",{'id': '101'},,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '02/08/2017', 'LABEL': 'b-date'}",{'id': '459'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'EURODIF', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '4—6', 'LABEL': 'b-address'}","{'TEXT': 'rue', 'LABEL': 'i-address'}","{'TEXT': 'du', 'LABEL': 'i-address'}","{'TEXT': 'Palais', 'LABEL': 'i-address'}","{'TEXT': '000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '9.', 'LABEL': 'b-total'}","{'TEXT': '93', 'LABEL': 'i-total'}","{'TEXT': '12/07/2016', 'LABEL': 'b-date'}",{'id': '1697'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CTTY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '5.99€', 'LABEL': 'b-total'}","{'TEXT': '15/05/2017', 'LABEL': 'b-date'}",{'id': '317'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '7.90€', 'LABEL': 'b-total'}","{'TEXT': '30/01/2017', 'LABEL': 'b-date'}",{'id': '288'},,,,,,,,,,,,,,,,,
"{'TEXT': 'foute', 'LABEL': 'b-company'}","{'TEXT': 'de', 'LABEL': 'i-company'}","{'TEXT': 'Cadagnan', 'LABEL': 'i-company'}","{'TEXT': '30310', 'LABEL': 'i-company'}","{'TEXT': 'VERGEZE', 'LABEL': 'i-company'}","{'TEXT': '1/02/17', 'LABEL': 'b-date'}",{'id': '1720'},,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': '23', 'LABEL': 'b-address'}","{'TEXT': 'GRAND—RUE_JEAN', 'LABEL': 'i-address'}","{'TEXT': 'JAU', 'LABEL': 'i-address'}","{'TEXT': '30', 'LABEL': 'i-address'}","{'TEXT': '20', 'LABEL': 'i-address'}","{'TEXT': '18/02/1715', 'LABEL': 'b-date'}","{'TEXT': '8,50', 'LABEL': 'b-total'}",{'id': '1734'},,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AYTRE', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'b-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Ayÿtré', 'LABEL': 'i-address'}","{'TEXT': '2.70€', 'LABEL': 'b-total'}","{'TEXT': '04/08/2017', 'LABEL': 'b-date'}",{'id': '511'},,,,,,,,,
"{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AVTRE', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'b-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Aÿtré', 'LABEL': 'i-address'}","{'TEXT': '1‘..73%A', 'LABEL': 'b-total'}","{'TEXT': '15/02/2017', 'LABEL': 'b-date'}",{'id': '505'},,,,,,,,
"{'TEXT': 'ELIOR', 'LABEL': 'b-company'}","{'TEXT': 'CONCESSTONS', 'LABEL': 'i-company'}","{'TEXT': 'GARES', 'LABEL': 'i-company'}","{'TEXT': 'SAS', 'LABEL': 'i-company'}","{'TEXT': 'fare', 'LABEL': 'b-address'}","{'TEXT': '$t', 'LABEL': 'i-address'}","{'TEXT': 'Roch', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Jules', 'LABEL': 'i-address'}","{'TEXT': 'Ferry', 'LABEL': 'i-address'}","{'TEXT': '34000', 'LABEL': 'i-address'}","{'TEXT': 'HONTPELLTER', 'LABEL': 'i-address'}","{'TEXT': 'Tét', 'LABEL': 'i-address'}","{'TEXT': 'RCS—NANTERRE', 'LABEL': 'i-address'}","{'TEXT': '1.50', 'LABEL': 'b-total'}","{'TEXT': '27—04—2017', 'LABEL': 'b-date'}",{'id': '934'},,,,,,,,,,,,,,
"{'TEXT': 'LEADER', 'LABEL': 'b-company'}","{'TEXT': 'PRICE', 'LABEL': 'i-company'}","{'TEXT': 'express', 'LABEL': 'i-company'}",{'id': '1287'},,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'BOUCHERIE', 'LABEL': 'b-company'}","{'TEXT': 'D', 'LABEL': 'i-company'}","{'TEXT': 'ANTAN', 'LABEL': 'i-company'}","{'TEXT': 'ROUÛTE', 'LABEL': 'i-company'}","{'TEXT': 'NATIONALE', 'LABEL': 'i-company'}","{'TEXT': '17220', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'JARNE', 'LABEL': 'i-address'}","{'TEXT': '56,', 'LABEL': 'b-total'}","{'TEXT': '29', 'LABEL': 'i-total'}",{'id': '707'},,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'DECATHLON', 'LABEL': 'b-company'}","{'TEXT': 'LA—ROCHELL', 'LABEL': 'i-company'}","{'TEXT': 'E', 'LABEL': 'i-company'}","{'TEXT': 'ZAC', 'LABEL': 'b-address'}","{'TEXT': 'Beauljeu', 'LABEL': 'i-address'}","{'TEXT': '2', 'LABEL': 'i-address'}","{'TEXT': '2', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'Belgique', 'LABEL': 'i-address'}","{'TEXT': '17198', 'LABEL': 'i-address'}","{'TEXT': 'PUTLBOREA!', 'LABEL': 'i-address'}","{'TEXT': '/05251033', 'LABEL': 'b-date'}",{'id': '909'},,,,,,,,,,,,,,,,,
"{'TEXT': 'SSP', 'LABEL': 'b-company'}","{'TEXT': 'France', 'LABEL': 'i-company'}","{'TEXT': 'RITAZZA', 'LABEL': 'i-company'}","{'TEXT': '1', 'LABEL': 'b-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Charles—Domercq', 'LABEL': 'i-address'}","{'TEXT': '33800', 'LABEL': 'i-address'}","{'TEXT': 'BORDEAUX', 'LABEL': 'i-address'}","{'TEXT': 'Mai30”17', 'LABEL': 'b-date'}","{'TEXT': '02', 'LABEL': 'i-date'}","{'TEXT': '8.60', 'LABEL': 'b-total'}",{'id': '935'},,,,,,,,,,,,,,,,,,,
"{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': '«&', 'LABEL': 'i-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AYTRE', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'b-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Aytré.', 'LABEL': 'i-address'}","{'TEXT': '2,95€', 'LABEL': 'b-total'}","{'TEXT': '24/09/2016', 'LABEL': 'b-date'}",{'id': '504'},,,,,,,
"{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'h', 'LABEL': 'i-company'}","{'TEXT': '34', 'LABEL': 'i-company'}","{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AYTRE', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'b-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Aÿtré.', 'LABEL': 'i-address'}","{'TEXT': '4.00e', 'LABEL': 'b-total'}","{'TEXT': 'UÛO‘:BÈ', 'LABEL': 'b-date'}",{'id': '510'},,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '6.90€', 'LABEL': 'b-total'}","{'TEXT': '11/07/2017', 'LABEL': 'b-date'}",{'id': '276'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '3.34€', 'LABEL': 'b-total'}","{'TEXT': '08/02/2017', 'LABEL': 'b-date'}",{'id': '289'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '93', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'Jel—', 'LABEL': 'i-address'}","{'TEXT': '”', 'LABEL': 'i-address'}","{'TEXT': '{', 'LABEL': 'i-address'}","{'TEXT': '46', 'LABEL': 'i-address'}","{'TEXT': ',27.02.12', 'LABEL': 'i-address'}","{'TEXT': '28/06/2017', 'LABEL': 'b-date'}",{'id': '302'},,,,,,,,,,,,,
"{'TEXT': 'H&M', 'LABEL': 'b-company'}","{'TEXT': 'Hennes', 'LABEL': 'i-company'}","{'TEXT': '&', 'LABEL': 'i-company'}","{'TEXT': 'Mauri', 'LABEL': 'i-company'}","{'TEXT': 'tz', 'LABEL': 'i-company'}","{'TEXT': 'bm', 'LABEL': 'i-company'}","{'TEXT': 'com', 'LABEL': 'i-company'}","{'TEXT': '40', 'LABEL': 'b-address'}","{'TEXT': 'rue', 'LABEL': 'i-address'}","{'TEXT': 'des', 'LABEL': 'i-address'}","{'TEXT': 'Mercier', 'LABEL': 'i-address'}","{'TEXT': 's', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'La', 'LABEL': 'i-address'}","{'TEXT': 'Rochelle', 'LABEL': 'i-address'}","{'TEXT': '0805', 'LABEL': 'i-address'}","{'TEXT': 'o8s', 'LABEL': 'i-address'}","{'TEXT': '888', 'LABEL': 'i-address'}","{'TEXT': 'Cappel', 'LABEL': 'i-address'}","{'TEXT': 'aratui', 'LABEL': 'i-address'}","{'TEXT': '©', 'LABEL': 'i-address'}","{'TEXT': '2', 'LABEL': 'i-address'}","{'TEXT': '62,', 'LABEL': 'b-total'}","{'TEXT': '95', 'LABEL': 'i-total'}","{'TEXT': '20/02/17', 'LABEL': 'b-date'}",{'id': '1133'},,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'Là', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '420e', 'LABEL': 'b-total'}","{'TEXT': '/2017', 'LABEL': 'i-date'}",{'id': '100'},,,,,,,,,,,,,,,,,
"{'TEXT': 'enrreprise', 'LABEL': 'b-company'}","{'TEXT': 'inocrenponte', 'LABEL': 'i-company'}","{'TEXT': '3,23', 'LABEL': 'b-total'}","{'TEXT': '27/05/2017', 'LABEL': 'b-date'}",{'id': '666'},,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'F', 'LABEL': 'b-company'}","{'TEXT': 'C', 'LABEL': 'i-company'}","{'TEXT': 'À', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '$', 'LABEL': 'i-address'}","{'TEXT': '33', 'LABEL': 'i-address'}","{'TEXT': 'R', 'LABEL': 'i-address'}","{'TEXT': ',U', 'LABEL': 'i-address'}","{'TEXT': 'Ê', 'LABEL': 'i-address'}","{'TEXT': 'D', 'LABEL': 'i-address'}","{'TEXT': 'E', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '‘7i3', 'LABEL': 'i-address'}","{'TEXT': '!', 'LABEL': 'i-address'}","{'TEXT': 'ÎJ*Ü', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '5.46.27.02.12', 'LABEL': 'i-address'}","{'TEXT': '18/02/2017', 'LABEL': 'b-date'}",{'id': '29'},,,,,,,,,,
"{'TEXT': 'PTERRE', 'LABEL': 'b-company'}","{'TEXT': 'MANOIS', 'LABEL': 'i-company'}","{'TEXT': 'TONNAY', 'LABEL': 'i-company'}","{'TEXT': 'CHARENTE', 'LABEL': 'i-company'}","{'TEXT': '14/06/2017', 'LABEL': 'b-date'}",{'id': '855'},,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '12.07e', 'LABEL': 'b-total'}","{'TEXT': '25/10/2016', 'LABEL': 'b-date'}",{'id': '15'},,,,,,,,,,,,,,,,,
"{'TEXT': 'Restaurant', 'LABEL': 'b-company'}","{'TEXT': 'McBonald', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'LES', 'LABEL': 'i-address'}","{'TEXT': 'MINTMES', 'LABEL': 'i-address'}","{'TEXT': 'Pole', 'LABEL': 'i-address'}","{'TEXT': ')01g1|<', 'LABEL': 'i-address'}","{'TEXT': 'dec', 'LABEL': 'i-address'}","{'TEXT': 'Minimes', 'LABEL': 'i-address'}","{'TEXT': 'e', 'LABEL': 'i-address'}","{'TEXT': 'la', 'LABEL': 'i-address'}","{'TEXT': 'Scierie', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '15/06/2017', 'LABEL': 'b-date'}",{'id': '841'},,,,,,,,,,,,,,
